,My preference can change based on the day.,Your preference for a bigger or smaller group changes based on the day.,"Hmm, I agree! My preference also changes based on my mood for the day,"
,I like them equally.,You like hanging out both with small and big groups.,"Hmm, I agree! I also think both of them have their advantages."
,I prefer bigger groups.,You like to hang out with more people.,"Hmm, I agree! Bigger groups are much more exciting."
How do you keep in contact with your friends?,I usually text.,I register that you keep in touch with your friends by texting.,Texting can be a great way to keep in touch with friends!
,I prefer meeting up in person.,I register that you keep in touch with friends by meeting up face-to-face.,Meeting up in person can be a great way to keep in touch with friends.
,I like video calling or talking on the phone.,I register that you keep in touch with friends by video or phone calls.,Video calling/talking on the phone can be a great way to keep in touch with friends.
,It depends based on the friend.,I register that the way you stay in contact your friends really depends on who the friend is.,"That makes sense everyone is different, that can be a great way to keep in touch with friends."
"How would you define yourself, {Username}? Are you more of an introvert or extrovert?",100% introverted.,I understand that you are introverted over extroverted.,Wow! That is really interesting to know about you.
,I can be both.,I understand that you can be both introverted and extroverted.,Wow! That is really interesting to know about you.
,I am indecisive.,I understand that you cannot decide between the two.,Wow! That is really interesting to know about you.
,100% extraverted.,I understand that you are extroverted over introverted.,Wow! That is really interesting to know about you.
"{Username}, when you are stressed, how do you relax?",Spending time in nature.,"Confirmed. You have indicated that when you are stressed, you relax by spending time in nature.","I love that way to relax, being out in nature is a good way to destress."
,Reading a book or watching a show.,"Confirmed. You indicated that when you are stressed, you relax by reading or watching a show.","I love that way to relax, reading or watching is a good way to destress."
,Doing something fun or creative.,"Confirmed. You have indicated that when you are stressed, you relax by having fun or being creative.","I love that way to relax, doing something fun or creative is a good way to destress."
,Practising mindfulness or meditation.,"Confirmed. You have indicated that when you are stressed, you relax by mediating or being mindful.","I love that way to relax, practising mindfulness or meditation is a good way to destress."
"When are you feeling down, how do you deal with it?",I choose to be alone.,"Thank you for your feedback, you prefer solitude when you are feeling down.","Oh, that is a good strategy! I understand where you are coming from."
,I choose to talk to others.,"Thank you for your feedback, you like to discuss your feelings.","Oh, that is a good strategy! I understand where you are coming from."
,I try to stay busy.,"Thank you for your feedback, you try to occupy your mind.","Oh, that is a good strategy! I understand where you are coming from."
,I try to distract myself by changing my focus.,"Thank you for your feedback, you like directing your attention elsewhere.","Oh, that is a good strategy! I understand where you are coming from."
Do you find opening up to someone hard?,"Yes, It is really hard for me.",Received. You indicated you have a hard time opening up to someone.,"I can relate to that, talking about your feelings can get hard."
,Depends on who I’m talking to.,Received. You indicated being open with someone depends on who you are talking to.,"I can relate to that, talking about your feelings really depends on the person.."
,It takes some time for me.,Received. You indicated you need to take some time to open up.,"I can relate to that, talking about your feelings requires some time."
,"No, I can open up to anyone.",Received. You have indicated that you can open up to anyone.,"I can relate to that, being open about your feelings is the best."
What core values guide your decisions in life?,Compassion or Empathy,Logged. You are guided by compassion or empathy.,That is a great value to guide your decisions!
,Ambition or Hard Work,Logged. You are guided by ambition or hard work.,That is a great value to guide your decisions!
,Loyalty or Trust,Logged. You are guided by loyalty or trust.,That is a great value to guide your decisions!
,Freedom or Independence,Logged. You are guided by freedom or independence.,That is a great value to guide your decisions!
"{Username}, if you could change one thing about yourself, what would it be, and why?",Personality Traits,"Got it, you would change your personality traits.",It is nice you are trying to improve yourself!
,Habits or Behaviors,"Got it, you would change your habits or behaviours.",It is nice you are trying to improve yourself!
,Physical or Mental Attributes,"Got it, you would change your physical or mental attributes.",It is nice you are trying to improve yourself!
,None,"Got it, you would change nothing about yourself.",It is nice that you are content with yourself!
